average sequence length: 56.86
Traceback (most recent call last):
  File "main.py", line 95, in <module>
    pos_logits, neg_logits = model(u, seq, pos, neg)
  File "/home/hajar.laktaoui/.local/lib/python3.8/site-packages/torch/nn/modules/module.py", line 722, in _call_impl
    result = self.forward(*input, **kwargs)
  File "/home/hajar.laktaoui/ImplementationFolder/SASRec.pytorch/model.py", line 102, in forward
    log_feats = self.log2feats(log_seqs) # user_ids hasn't been used yet
  File "/home/hajar.laktaoui/ImplementationFolder/SASRec.pytorch/model.py", line 70, in log2feats
    row_str = ' '.join(map(str, row.cpu().numpy()))
RuntimeError: Can't call numpy() on Tensor that requires grad. Use tensor.detach().numpy() instead.
average sequence length: 56.86
average sequence length: 56.86
average sequence length: 56.86
loss in epoch 1 iteration 0: 1.3898543119430542
loss in epoch 1 iteration 1: 1.3893828392028809
loss in epoch 1 iteration 2: 1.3877909183502197
loss in epoch 1 iteration 3: 1.385460615158081
loss in epoch 1 iteration 4: 1.3863205909729004
loss in epoch 1 iteration 5: 1.3820838928222656
loss in epoch 1 iteration 6: 1.3865342140197754
loss in epoch 1 iteration 7: 1.3801569938659668
loss in epoch 1 iteration 8: 1.379433512687683
loss in epoch 1 iteration 9: 1.3759403228759766
loss in epoch 1 iteration 10: 1.378341794013977
loss in epoch 1 iteration 11: 1.3722834587097168
loss in epoch 1 iteration 12: 1.3692264556884766
loss in epoch 1 iteration 13: 1.3676223754882812
loss in epoch 1 iteration 14: 1.3705499172210693
loss in epoch 1 iteration 15: 1.3620883226394653
loss in epoch 1 iteration 16: 1.3562065362930298
loss in epoch 1 iteration 17: 1.3544063568115234
loss in epoch 1 iteration 18: 1.3531405925750732
loss in epoch 1 iteration 19: 1.3495007753372192
loss in epoch 1 iteration 20: 1.3508245944976807
loss in epoch 1 iteration 21: 1.3448314666748047
loss in epoch 1 iteration 22: 1.3396079540252686
loss in epoch 1 iteration 23: 1.3396912813186646
loss in epoch 1 iteration 24: 1.3434779644012451
loss in epoch 1 iteration 25: 1.3274165391921997
loss in epoch 1 iteration 26: 1.3236968517303467
loss in epoch 1 iteration 27: 1.3237972259521484
loss in epoch 1 iteration 28: 1.3160698413848877
loss in epoch 1 iteration 29: 1.3189361095428467
loss in epoch 1 iteration 30: 1.3055305480957031
loss in epoch 1 iteration 31: 1.3102097511291504
loss in epoch 1 iteration 32: 1.3104164600372314
loss in epoch 1 iteration 33: 1.3002498149871826
loss in epoch 1 iteration 34: 1.2975494861602783
loss in epoch 1 iteration 35: 1.3095245361328125
loss in epoch 1 iteration 36: 1.2894763946533203
loss in epoch 1 iteration 37: 1.2979240417480469
loss in epoch 1 iteration 38: 1.2915304899215698
loss in epoch 1 iteration 39: 1.2828608751296997
loss in epoch 1 iteration 40: 1.2954334020614624
loss in epoch 1 iteration 41: 1.2869117259979248
loss in epoch 1 iteration 42: 1.294253945350647
loss in epoch 1 iteration 43: 1.2782676219940186
loss in epoch 1 iteration 44: 1.2627989053726196
